dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
8	8.0	8.0	7.9	8.0	8.2	0.1	2.4	2.4	0
12	12.0	12.0	11.9	12.0	12.2	0.1	2.1	3.5	0
16	16.0	16.0	15.9	16.0	16.2	0.1	1.8	4.7	0
20	20.0	20.0	19.6	20.0	20.4	0.3	2.7	5.9	0
24	24.0	24.0	23.8	24.0	24.2	0.2	2.6	7.1	0
28	28.0	28.0	27.7	28.0	28.4	0.3	3.5	8.2	0
32	32.0	32.0	32.0	32.0	32.0	0.0	2.4	9.4	0
36	36.0	36.0	35.8	36.0	36.2	0.3	2.8	10.6	0
40	40.0	40.0	40.0	40.0	40.0	0.0	2.3	11.8	0
44	43.9	43.9	44.0	44.0	44.0	0.0	2.6	12.9	0
48	48.1	48.1	47.6	48.0	48.4	0.6	2.3	14.1	0
52	51.9	51.9	52.0	52.0	52.0	0.0	3.0	15.3	0
56	55.9	55.9	56.0	56.0	56.0	0.0	2.9	16.4	0
60	60.1	60.1	60.0	60.0	60.0	0.0	2.8	17.7	0
64	64.1	64.1	63.8	63.8	63.8	0.0	2.7	18.8	0
68	68.1	68.1	68.0	68.0	68.0	0.0	3.2	20.0	0
72	72.1	72.1	72.0	72.0	72.0	0.0	2.9	21.2	0
76	76.1	76.1	76.0	76.0	76.0	0.0	3.1	22.4	0
80	79.5	79.5	80.0	80.0	80.0	0.0	4.1	23.4	0
84	84.1	84.1	84.0	84.0	84.0	0.0	3.9	24.7	0
88	88.1	88.1	88.0	88.0	88.0	0.0	3.8	25.9	0
92	92.2	92.2	91.8	91.8	91.8	0.0	3.8	27.1	0
96	96.2	96.2	94.9	94.9	94.9	0.0	4.6	28.3	0
