dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
8	8.0	8.0	7.6	8.0	8.2	0.1	198.4	2.4	0
12	12.0	12.0	11.6	12.0	12.2	0.2	196.6	3.6	0
16	15.9	15.9	15.4	15.9	16.2	0.3	198.1	4.8	0
20	19.9	19.9	19.2	19.8	20.1	0.4	201.4	6.0	0
24	23.8	23.8	22.9	23.8	24.2	0.6	202.3	7.1	0
28	27.8	27.8	26.5	27.6	28.4	1.0	202.8	8.3	0
32	31.6	31.6	30.4	31.6	32.4	1.1	203.9	9.5	0
36	35.6	35.6	34.6	35.3	36.0	1.0	203.3	10.7	0
40	39.5	39.5	38.4	39.2	40.0	1.1	206.6	11.8	0
44	43.1	43.1	41.7	43.0	44.2	1.8	205.1	12.9	0
48	47.2	47.2	45.7	47.0	48.4	1.9	204.0	14.1	0
52	51.1	51.1	49.5	49.5	49.5	0.0	205.1	15.3	0
56	54.6	54.6	53.8	53.8	53.8	0.0	206.5	16.4	0
60	58.5	58.5	57.2	57.2	57.2	0.0	207.9	17.5	0
64	62.5	62.5	60.2	60.2	60.2	0.0	207.8	18.8	0
68	66.0	66.0	64.6	64.6	64.6	0.0	210.3	19.8	0
72	70.1	70.1	69.0	69.0	69.0	0.0	209.5	21.0	0
76	73.9	73.9	73.0	73.0	73.0	0.0	220.1	22.2	0
80	76.1	76.1	75.2	75.2	75.2	0.0	274.5	22.8	0
84	75.7	75.7	74.4	74.4	74.4	0.0	444.7	22.7	0
88	75.4	75.4	75.0	75.0	75.0	0.0	550.7	22.6	0
92	73.6	73.6	72.7	72.7	72.7	0.0	726.5	22.1	0
96	74.1	74.1	71.8	71.8	71.8	0.0	896.9	22.2	0
