dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
8	8.0	8.0	7.8	8.0	8.2	0.1	197.5	2.4	0
12	12.0	12.0	11.5	12.0	12.2	0.2	198.0	3.6	0
16	15.9	15.9	15.3	15.9	16.2	0.3	198.7	4.9	0
20	19.9	19.9	19.3	19.9	20.4	0.4	201.0	6.1	0
24	23.8	23.8	23.2	23.8	24.0	0.4	201.6	7.3	0
28	27.8	27.8	27.0	27.7	28.0	0.6	204.2	8.5	0
32	31.7	31.7	30.8	31.5	32.0	0.6	203.0	9.6	0
36	35.6	35.6	34.6	35.2	35.7	0.8	202.0	10.8	0
40	39.4	39.4	38.4	39.0	39.5	0.8	204.3	12.0	0
44	43.3	43.3	42.0	43.2	44.4	1.7	205.7	13.2	0
48	47.2	47.2	46.2	47.1	48.0	1.3	204.6	14.4	0
52	51.1	51.1	50.0	50.7	51.4	1.0	203.5	15.6	0
56	54.7	54.7	53.8	53.8	53.8	0.0	207.3	16.7	0
60	58.7	58.7	57.6	57.6	57.6	0.0	205.5	17.9	0
64	62.2	62.2	60.7	60.7	60.7	0.0	205.8	18.9	0
68	66.3	66.3	65.4	65.4	65.4	0.0	204.7	20.2	0
72	69.8	69.8	69.2	69.2	69.2	0.0	205.7	21.3	0
76	73.6	73.6	73.0	73.0	73.0	0.0	206.7	22.4	0
80	77.7	77.7	76.4	76.4	76.4	0.0	206.1	23.7	0
84	81.5	81.5	80.4	80.4	80.4	0.0	207.1	24.8	0
88	85.2	85.2	84.6	84.6	84.6	0.0	207.4	26.0	0
92	88.5	88.5	88.4	88.4	88.4	0.0	209.6	27.0	0
96	92.7	92.7	91.3	91.3	91.3	0.0	206.0	28.2	0
