dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
8	8.0	8.0	7.8	8.0	8.2	0.1	2.1	1.9	0
12	12.0	12.0	11.7	12.0	12.2	0.2	2.2	2.9	0
16	16.0	16.0	15.8	16.0	16.2	0.1	2.2	3.8	0
20	20.0	20.0	19.9	20.0	20.0	0.1	2.2	4.8	0
24	24.0	24.0	24.0	24.0	24.0	0.0	1.7	5.8	0
28	28.1	28.1	27.7	27.9	28.0	0.2	2.3	6.7	0
32	32.1	32.1	32.0	32.0	32.0	0.0	1.9	7.7	0
36	36.1	36.1	36.0	36.0	36.0	0.0	2.1	8.6	0
40	40.1	40.1	40.0	40.0	40.0	0.0	2.4	9.6	0
44	44.1	44.1	43.5	43.8	44.0	0.3	2.0	10.5	0
48	48.1	48.1	48.0	48.0	48.0	0.0	2.0	11.5	0
52	52.1	52.1	52.0	52.0	52.0	0.0	2.1	12.5	0
56	56.1	56.1	56.0	56.0	56.0	0.0	2.2	13.4	0
60	60.1	60.1	60.0	60.0	60.0	0.0	2.3	14.4	0
64	64.0	64.0	64.0	64.0	64.0	0.0	2.4	15.3	0
68	68.1	68.1	68.0	68.0	68.0	0.0	2.4	16.3	0
72	72.1	72.1	72.0	72.0	72.0	0.0	2.6	17.3	0
76	76.1	76.1	75.2	75.2	75.2	0.0	2.4	18.2	0
80	79.3	79.3	79.4	79.4	79.4	0.0	2.3	19.0	0
84	84.1	84.1	84.0	84.0	84.0	0.0	2.9	20.1	0
88	88.1	88.1	88.0	88.0	88.0	0.0	3.4	21.1	0
92	91.1	91.1	91.0	91.0	91.0	0.0	3.0	21.8	0
96	95.4	95.4	96.0	96.0	96.0	0.0	2.9	22.8	0
