dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
4	4.0	4.0	4.0	4.0	4.0	0.0	102.3	1.0	0
8	8.0	8.0	8.0	8.0	8.0	0.0	102.4	2.0	0
12	12.0	12.0	11.8	12.0	12.0	0.1	102.4	2.9	0
16	16.0	16.0	15.8	16.0	16.0	0.1	102.4	3.9	0
20	20.0	20.0	19.6	19.9	20.0	0.2	102.5	4.9	0
24	23.9	23.9	23.6	23.9	24.0	0.2	102.3	5.9	0
28	27.9	27.9	27.6	27.9	28.0	0.2	102.3	6.8	0
32	31.9	31.9	31.4	31.8	32.0	0.3	102.4	7.8	0
36	35.8	35.8	35.4	35.7	36.0	0.4	102.4	8.8	0
40	39.8	39.8	39.2	39.6	40.0	0.6	102.4	9.7	0
44	43.7	43.7	43.2	43.6	44.0	0.6	102.5	10.7	0
48	47.6	47.6	47.2	47.6	48.0	0.6	103.5	11.7	0
52									101
56									101
60									101
64									101
