dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
4	4.0	4.0	4.0	4.0	4.2	0.0	197.7	1.0	0
8	8.0	8.0	7.8	8.0	8.0	0.1	199.4	2.0	0
12	12.0	12.0	11.5	12.0	12.2	0.3	197.7	3.0	0
16	15.9	15.9	15.4	15.9	16.0	0.2	201.1	4.0	0
20	19.9	19.9	19.2	19.8	20.4	0.5	204.4	5.0	0
24	23.8	23.8	23.2	23.8	24.0	0.4	201.8	6.0	0
28	27.7	27.7	27.0	27.7	28.2	0.6	204.3	6.9	0
32	31.7	31.7	30.8	31.6	32.0	0.7	202.0	7.9	0
36	35.6	35.6	34.5	35.3	36.2	1.2	204.8	8.9	0
40	39.3	39.3	38.0	39.2	40.4	1.7	203.1	9.8	0
44	43.3	43.3	41.7	42.9	44.1	1.7	203.2	10.8	0
48	46.9	46.9	45.8	47.0	48.2	1.7	203.4	11.7	0
52	50.8	50.8	50.0	51.0	52.0	1.4	203.3	12.7	0
56	54.9	54.9	53.8	53.8	53.8	0.0	205.7	13.7	0
60	58.3	58.3	57.6	57.6	57.6	0.0	206.2	14.6	0
64	62.5	62.5	60.7	60.7	60.7	0.0	205.9	15.6	0
