dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
8	8.0	8.0	7.9	8.0	8.1	0.0	2.3	2.4	0
12	12.0	12.0	11.9	12.0	12.2	0.1	1.9	3.6	0
16	16.0	16.0	16.0	16.0	16.0	0.0	1.6	4.8	0
20	20.0	20.0	19.9	20.0	20.0	0.0	3.1	5.9	0
24	24.0	24.0	24.0	24.0	24.0	0.0	2.2	7.1	0
28	27.9	27.9	27.8	27.9	28.0	0.1	1.9	8.3	0
32	32.0	32.0	32.0	32.0	32.0	0.0	2.2	9.5	0
36	36.1	36.1	35.6	36.1	36.6	0.7	2.3	10.7	0
40	39.9	39.9	39.6	39.8	39.9	0.2	4.0	11.9	0
44	44.1	44.1	43.6	43.8	44.0	0.3	1.8	13.1	0
48	48.1	48.1	47.4	48.0	48.6	0.8	2.9	14.3	0
52	52.0	52.0	51.5	51.5	51.5	0.0	1.8	15.4	0
56	56.1	56.1	55.5	55.5	55.5	0.0	2.4	16.7	0
60	59.8	59.8	60.0	60.0	60.0	0.0	2.7	17.8	0
64	63.7	63.7	63.4	63.4	63.4	0.0	2.6	18.9	0
68	68.1	68.1	67.4	67.4	67.4	0.0	2.3	20.2	0
72	71.4	71.4	72.0	72.0	72.0	0.0	2.9	21.2	0
76	75.6	75.6	76.0	76.0	76.0	0.0	2.8	22.4	0
80	80.1	80.1	80.0	80.0	80.0	0.0	4.0	23.8	0
84	84.1	84.1	84.0	84.0	84.0	0.0	3.8	25.0	0
88	88.1	88.1	88.0	88.0	88.0	0.0	3.0	26.2	0
92	92.2	92.2	91.1	91.1	91.1	0.0	3.3	27.4	0
96	96.2	96.2	94.9	94.9	94.9	0.0	3.0	28.5	0
