dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
8	4.7	7.1	0.0	0.0	0.0	0.0	0.0	0.3	101
12	5.3	10.2	0.0	0.0	0.0	0.0	0.0	0.4	101
16	5.3	12.8	0.0	0.0	0.0	0.0	0.0	0.4	101
20	5.1	15.6	0.0	0.0	0.0	0.0	0.0	0.4	101
24	5.2	17.4	0.0	0.0	0.0	0.0	0.0	0.4	101
28	5.4	19.5	0.0	0.0	0.0	0.0	0.0	0.4	101
32	5.3	21.6	0.0	0.0	0.0	0.0	0.0	0.4	101
36	5.0	23.3	0.0	0.0	0.0	0.0	0.0	0.3	101
40	5.2	24.6	0.0	0.0	0.0	0.0	0.0	0.4	101
44	4.8	26.6	0.0	0.0	0.0	0.0	0.0	0.3	101
48	5.0	28.0	0.0	0.0	0.0	0.0	0.0	0.3	101
52	4.9	29.8	0.0	0.0	0.0	0.0	0.0	0.3	101
56	5.3	31.6	0.0	0.0	0.0	0.0	0.0	0.4	101
60	5.4	32.3	0.0	0.0	0.0	0.0	0.0	0.4	101
64	4.3	32.3	0.0	0.0	0.0	0.0	0.0	0.3	101
68	5.3	33.3	0.0	0.0	0.0	0.0	0.0	0.4	101
72	4.9	35.1	0.0	0.0	0.0	0.0	0.0	0.3	101
76	5.1	35.3	0.0	0.0	0.0	0.0	0.0	0.3	101
80	5.8	36.5	0.0	0.0	0.0	0.0	0.0	0.4	101
84	5.3	36.5	0.0	0.0	0.0	0.0	0.0	0.4	101
88	5.5	39.9	0.0	0.0	0.0	0.0	0.0	0.4	101
92	4.6	37.6	0.0	0.0	0.0	0.0	0.0	0.3	101
96	6.1	40.4	0.0	0.0	0.0	0.0	0.0	0.4	101
