dem_req_rate	req_rate_localhost	con_rate_localhost	min_rep_rate_localhost	avg_rep_rate_localhost	max_rep_rate_localhost	stddev_rep_rate_localhost	resp_time_localhost	net_io_localhost	errors_localhost
8	6.2	7.1	0.0	0.7	4.6	1.6	2720.6	0.6	924
12	5.4	10.3	0.0	0.0	0.0	0.0	0.0	0.4	101
16	5.2	12.8	0.0	0.0	0.0	0.0	0.0	0.4	101
20	5.1	15.5	0.0	0.0	0.0	0.0	0.0	0.4	101
24	5.2	18.0	0.0	0.0	0.0	0.0	0.0	0.4	101
28	5.1	19.8	0.0	0.0	0.0	0.0	0.0	0.4	101
32	5.3	21.8	0.0	0.0	0.0	0.0	0.0	0.4	101
36	5.1	23.4	0.0	0.0	0.0	0.0	0.0	0.4	101
40	5.3	25.4	0.0	0.0	0.0	0.0	0.0	0.4	101
44	4.8	27.3	0.0	0.0	0.0	0.0	0.0	0.3	101
48	4.8	27.3	0.0	0.0	0.0	0.0	0.0	0.3	101
52	5.3	29.9	0.0	0.0	0.0	0.0	0.0	0.4	101
56	5.2	30.3	0.0	0.0	0.0	0.0	0.0	0.4	101
60	5.0	31.1	0.0	0.0	0.0	0.0	0.0	0.4	101
64	4.9	34.1	0.0	0.0	0.0	0.0	0.0	0.3	101
68	5.1	33.1	0.0	0.0	0.0	0.0	0.0	0.4	101
72	5.3	35.1	0.0	0.0	0.0	0.0	0.0	0.4	101
76	5.4	34.9	0.0	0.0	0.0	0.0	0.0	0.4	101
80	4.8	35.4	0.0	0.0	0.0	0.0	0.0	0.3	101
84	5.9	39.0	0.0	0.0	0.0	0.0	0.0	0.4	101
88	4.3	37.1	0.0	0.0	0.0	0.0	0.0	0.3	101
92	5.0	37.6	0.0	0.0	0.0	0.0	0.0	0.4	101
96	6.3	40.8	0.0	0.0	0.0	0.0	0.0	0.4	101
